# Oritasy whole-game ZH dictionary (English<TAB>中文)
# Generated for 0.0.9.50C — menus/keybinds/encyclopedia/HUD
# Lines starting with # ignored. Descriptions may use \n escapes.
# Expand path: append more EN\tZH rows; restart or toggle language.
12.7mm Machine Gun	12.7mm 机枪
12.7mm MG Emplacement	12.7mm 机枪阵地
12.7mm Rotary Machine Gun	12.7mm 转管机枪
120kw Laser	120kW 激光
127mm Cannon	127mm 舰炮
127mm Guided Shell	127mm 制导炮弹
130mm Cannon	130mm 火炮
155mm Cannon	155mm 火炮
155mm Guided Shell	155mm 制导炮弹
155mm Railgun	155mm 轨道炮
20kw Laser	20kW 激光
20mm Autocannon	20mm 机炮
20mm Rotary Cannon	20mm 转管炮
23mm AAA Emplacement	23mm 高炮阵地
23mm Autocannon	23mm 机炮
25mm Autocannon	25mm 机炮
25mm Rotary Cannon	25mm 转管炮
27mm Autocannon	27mm 机炮
30mm Cannon	30mm 火炮
30mm Chaingun	30mm 链式炮
30mm Rotary Cannon	30mm 转管炮
35mm Autocannon	35mm 机炮
40mm Cannon	40mm 火炮
40mm GMG	40mm 自动榴弹发射器
40mm Grenade	40mm 榴弹
57mm Cannon	57mm 火炮
7.5MM LMG	7.5mm 轻机枪
70mm AT	70mm 反坦克
70mm Light AT	70mm 轻型反坦克武器
76mm Cannon	76mm 火炮
76mm Guided Shell	76mm 制导炮弹
80kw Laser	80kW 激光
A 10kg HE warhead housed in a fin-stabilised airframe. Uses canard control for terminal guidance that is provided by an electro-optical seeker head.	10kg 高爆战斗部，尾翼稳定弹体；鸭舵末端制导，由光电导引头提供终端引导。
A 10m section of concrete wall	10m 段混凝土墙
A 3kg HE warhead housed in a fin-stabilised airframe. Uses canard control for terminal guidance that is provided by an electro-optical seeker head.	3kg 高爆战斗部，尾翼稳定弹体；鸭舵末端制导，由光电导引头提供终端引导。
A cargo hook with a 20m (65ft) line for slinging external loads and recovering downed pilots.	带 20m 吊索的货钩，用于外吊载荷与救援飞行员。
A compact and advanced multirole fighter, the Vortex is capable of operating vertically from small carriers and remaining undetected thanks to outstanding stealth characteristics. While fast, agile, and stealthy when lightly loaded, these characteristics can suffer when carrying a heavy payload of weapons.	紧凑先进的多用途战斗机，可从小型航母垂直运作，并以出色隐身保持隐蔽。轻载时又快又灵又隐；重载时这些特性会显著下降。
A concealed front line fighting position of an infantry team armed with light machine guns, grenades, and rocket launchers. Capable of ambushing unsuspecting vehicles that enter its field of fire.	隐蔽前线步兵战斗阵地，装备轻机枪、榴弹与火箭筒，可伏击进入射界的车辆。
A Hexhound equipped with a four-shot IRM-S1 launcher. Its small profile makes it hard to detect, allowing it to ambush low flying air targets.	装备四联 IRM-S1 的六足猎犬；轮廓小、难发现，适合伏击低空目标。
A Hexhound equipped with an automatic grenade launcher. The grenade launcher is able to rain indirect fire on datalink targets within 2km.	装备自动榴弹发射器的六足猎犬，可对 2km 内数据链目标实施间接火力。
A high drag 125kg bomb, ideal for destroying vehicles in extremely low attacks.	高阻 125kg 炸弹，适合极低空摧毁车辆。
A large, carrier capable, twin engine multirole fighter, the Ifrit is equally suited to air superiority and ground attack missions. It features excellent thrust and maneuverability alongside reduced radar signature and powerful sensors. Two internal weapon bays plus two additional side bays for heat-seeking missiles allow the Ifrit to carry a significant internal payload without impacting stealth or top speed.	大型舰载双发多用途战斗机，空优与对地兼优。推力与机动出色，雷达特征降低且传感器强大。两个主内置弹舱另加两个热寻导弹侧舱，使伊弗利特可在不影响隐身与极速的情况下携带可观内置载荷。
A Laser Air Defence System capable of destroying small calibre aerial munitions.	激光防空系统，可摧毁小口径空中弹药。
A lightly armed and armored personnel carrier built on the Modular Support Vehicle chassis	建于模块支援车底盘的轻武轻甲运兵车。
A low-footprint vehicle manufacturing facility, housing an entirely automated production chain. Lighting, heating, and floorspace requirements are only considered for the handful of quality assurance workers overseeing the facility. Factory buildings supply a specific type of vehicle to a faction's inventory.	占地小的全自动车辆制造设施；照明采暖与面积仅考虑少量质检人员。工厂为阵营库存提供特定类型车辆。
A missile using a ramjet for beyond visual range (BVR) engagement.	采用冲压发动机的超视距（BVR）空空导弹。
A Modular Support Vehicle equipped with a 20mm rotary gun to provide point defence against shells, missiles, bombs, and low flying aircraft.	模块支援车，20mm 转管炮对炮弹、导弹、炸弹与低空飞机实施点防御。
A reinforced hangar which stores fighter aircraft and a small complement of nuclear warheads. It is resistant to bombs and missiles, often requiring multiple direct hits or large/penetrating munitions to destroy it.	加固机库，存放战斗机与少量核弹头。抗炸弹与导弹，通常需多次直接命中或大型/侵彻弹药才能摧毁。
A single 10-ton container for replenishing a warship's ammunition stores. Has floatation devices and can be picked up by ships within 200m after being placed in the water. Avoid subjecting the containers to large impact forces, as they may detonate.	10 吨级舰艇弹药补给集装箱，有浮具，入水后 200m 内可被舰船拾取。避免剧烈撞击，否则可能殉爆。
A single RAM45 launcher turret.	单座 RAM-45 发射塔。
A single use, air transportable 1,500L fuel tank, commonly deployed at Forward Operating Bases.	一次性空运 1500L 燃油罐，常部署于前进作战基地。
A small optically guided 125kg bomb, ideal for destroying vehicles and small buildings in low level attacks.	小型光学制导 125kg 炸弹，适合低空摧毁车辆与小型建筑。
A small, remote-controlled, air-transportable combat engineering unit designed for light role forces. Combat engineering units are able to facilitate the repair and reconstruction of hangars, helipads and vehicle depots.	小型遥控可空运战斗工程单位，服务轻装部队；可协助修复机库、直升机坪与车辆库。
A surface-launched active radar homing missile. Uses a combination of inertial guidance and terminal radar homing, and can be fired at aerial targets on datalink from beyond visual range.	地射主动雷达寻的导弹；惯导与末端雷达寻的结合，可对数据链空中目标超视距发射。
A vehicle manufacturing facility, housing a production line and its associated machinery. Factory buildings supply a specific type of vehicle to a faction's inventory.	车辆制造设施，包含生产线与相关设备。工厂为阵营库存提供特定类型车辆。
A-19 Brawler	NOTA-10XE 超疣猪
AAM-29 Scythe	AAM-29 镰刀
AAM-36 Scimitar	AAM-36 弯刀
AAM-2CV [IAL]	AAM-2CV [IAL]
AAM-2CV [IAL] x2	AAM-2CV [IAL] x2
AAM-2CV [IAL] x3	AAM-2CV [IAL] x3
